"","ID","WA_or_IG","Control_Treatment","Politics","gender","age","Education","News_conso_W1","IG_News_conso_W1","WA_News_conso_W1","informed_News_W1","informed_POL_W1","interest_News_W1","interest_POL_W1","Type_MEDIA_W1","NOTIF_W1","Trust_News_W1","News_conso_W2","IG_News_conso_W2","WA_News_conso_W2","informed_News_W2","informed_POL_W2","interest_News_W2","interest_POL_W2","Type_MEDIA_W2","NOTIF_W2","Trust_News_W2","Efficacy_W1","Efficacy_W2","SM_use_W2","Total_Knowledge_W2","Total_Knowledge_W1","Total_FALSE_BELIEF_W2","Total_FALSE_BELIEF_W1","Total_TRUE_BELIEF_W2","Total_TRUE_BELIEF_W1","Total_TRUE_AWARE_W2","Total_TRUE_AWARE_W1","PLACEBO_awareness","right_W1","right_W2","left_W1","left_W2","Ukraine_W1","Ukraine_W2","Russia_W1","Russia_W2","Palestine_W1","Palestine_W2","EU_W1","EU_W2","Isreal_W1","Isreal_W2","Center_W1","Center_W2","Merged_Url_1","Merged_Url_2","EndDate_W1","EndDate_W2","Follow_1","Notif_1","Follow_2","Notif_2","BOTH","Day_W1","Day_W2","Diff_Day","Total_TRUE_BELIEF_W2_mean","Total_FALSE_BELIEF_W2_mean","SM_MAIN_W1","SM_MAIN_W2","notifications_perfect","notifications_at_least_one","screenshots_at_least_one","Total_DISCERN_W2","Total_DISCERN_W1","Wave","false_aware"
"11",269662341545112,"IG","Control","2",1,28,4,6,1,1,5,4,4,3,1,1,1,6,1,1,5,4,4,2,1,1,1,9,9,3,1,1,16,8,31,12,2,1,0,0,0,0,0,0,0,50,49,50,50,0,0,50,50,0,0,"https://ipz.qualtrics.com/Q/File.php?F=F_22WuNKCtl66LaoS","https://ipz.qualtrics.com/Q/File.php?F=F_ymwpyCIXjDROlgJ",2024-03-01 21:24:11,2024-03-15 21:17:50,1,0,1,0,1,"01","15",14,4.42857142857143,4,1,1,0,0,1,15,4,"1",0
"12",269662341545112,"IG","Control","2",1,28,4,6,1,1,5,4,4,3,1,1,1,6,1,1,5,4,4,2,1,1,1,9,9,3,1,1,16,8,31,12,2,1,0,0,0,0,0,0,0,50,49,50,50,0,0,50,50,0,0,"https://ipz.qualtrics.com/Q/File.php?F=F_22WuNKCtl66LaoS","https://ipz.qualtrics.com/Q/File.php?F=F_ymwpyCIXjDROlgJ",2024-03-01 21:24:11,2024-03-15 21:17:50,1,0,1,0,1,"01","15",14,4.42857142857143,4,1,1,0,0,1,15,4,"2",1
"13",269662341545119,"WA","Treatment","12",1,36,6,5,1,1,3,3,3,2,3,1,4,5,2,3,3,2,3,2,3,1,3,8,9,1,2,0,20,7,19,8,2,2,0,0,0,0,0,81,84,0,0,50,50,59,98,50,50,0,0,"https://ipz.qualtrics.com/Q/File.php?F=F_3EWHEbJC3hjQtaD","https://ipz.qualtrics.com/Q/File.php?F=F_00xOh3IxTBk7GG5",2024-03-01 14:27:16,2024-03-15 21:44:07,1,1,1,1,1,"01","15",14,2.71428571428571,5,0,0,1,1,1,-1,1,"1",1
"14",269662341545119,"WA","Treatment","12",1,36,6,5,1,1,3,3,3,2,3,1,4,5,2,3,3,2,3,2,3,1,3,8,9,1,2,0,20,7,19,8,2,2,0,0,0,0,0,81,84,0,0,50,50,59,98,50,50,0,0,"https://ipz.qualtrics.com/Q/File.php?F=F_3EWHEbJC3hjQtaD","https://ipz.qualtrics.com/Q/File.php?F=F_00xOh3IxTBk7GG5",2024-03-01 14:27:16,2024-03-15 21:44:07,1,1,1,1,1,"01","15",14,2.71428571428571,5,0,0,1,1,1,-1,1,"2",3
"15",269662341545122,"WA","Control","7",2,38,6,5,1,1,4,4,4,4,3,0,4,6,1,1,4,4,4,4,3,0,3,7,7,4,3,2,13,6,32,10,1,1,0,75,69,0,0,62,36,11,0,1,0,100,86,60,0,50,23,"https://ipz.qualtrics.com/Q/File.php?F=F_agksFxdFFBozuTL","https://ipz.qualtrics.com/Q/File.php?F=F_2Y8P2h3FG4Py0TA",2024-03-01 13:45:39,2024-03-15 21:31:18,1,1,0,0,0,"01","15",14,4.57142857142857,3.25,0,0,0,1,1,19,4,"1",0
"16",269662341545122,"WA","Control","7",2,38,6,5,1,1,4,4,4,4,3,0,4,6,1,1,4,4,4,4,3,0,3,7,7,4,3,2,13,6,32,10,1,1,0,75,69,0,0,62,36,11,0,1,0,100,86,60,0,50,23,"https://ipz.qualtrics.com/Q/File.php?F=F_agksFxdFFBozuTL","https://ipz.qualtrics.com/Q/File.php?F=F_2Y8P2h3FG4Py0TA",2024-03-01 13:45:39,2024-03-15 21:31:18,1,1,0,0,0,"01","15",14,4.57142857142857,3.25,0,0,0,1,1,19,4,"2",2
"17",269662341545125,"WA","Control","3",2,34,4,6,1,1,5,4,4,4,2,1,4,6,1,4,4,4,4,4,2,1,4,5,6,5,3,3,14,11,40,13,3,1,0,68,70,34,70,49,70,28,70,50,70,79,90,50,70,37,50,"https://ipz.qualtrics.com/Q/File.php?F=F_1rAfNJmx3flC1zo","https://ipz.qualtrics.com/Q/File.php?F=F_6LprtFWGMD6inOp",2024-03-01 20:49:09,2024-03-15 18:15:44,1,1,1,1,1,"01","15",14,5.71428571428571,3.5,0,0,1,1,1,26,2,"1",0
"18",269662341545125,"WA","Control","3",2,34,4,6,1,1,5,4,4,4,2,1,4,6,1,4,4,4,4,4,2,1,4,5,6,5,3,3,14,11,40,13,3,1,0,68,70,34,70,49,70,28,70,50,70,79,90,50,70,37,50,"https://ipz.qualtrics.com/Q/File.php?F=F_1rAfNJmx3flC1zo","https://ipz.qualtrics.com/Q/File.php?F=F_6LprtFWGMD6inOp",2024-03-01 20:49:09,2024-03-15 18:15:44,1,1,1,1,1,"01","15",14,5.71428571428571,3.5,0,0,1,1,1,26,2,"2",2
"19",269662341545126,"WA","Treatment","2",1,26,3,4,3,4,4,3,4,3,1,1,3,6,3,3,4,4,4,4,1,0,4,6,5,3,5,3,18,9,37,13,4,2,0,24,20,27,20,100,49,100,5,100,50,100,72,100,50,21,21,"https://ipz.qualtrics.com/Q/File.php?F=F_2amG5GKTfU3idKo","https://ipz.qualtrics.com/Q/File.php?F=F_pRREPd3dWGtlCJr",2024-03-01 16:16:42,2024-03-18 10:50:14,1,0,1,0,1,"01","18",17,5.28571428571429,4.5,1,1,0,0,1,19,4,"1",1
"20",269662341545126,"WA","Treatment","2",1,26,3,4,3,4,4,3,4,3,1,1,3,6,3,3,4,4,4,4,1,0,4,6,5,3,5,3,18,9,37,13,4,2,0,24,20,27,20,100,49,100,5,100,50,100,72,100,50,21,21,"https://ipz.qualtrics.com/Q/File.php?F=F_2amG5GKTfU3idKo","https://ipz.qualtrics.com/Q/File.php?F=F_pRREPd3dWGtlCJr",2024-03-01 16:16:42,2024-03-18 10:50:14,1,0,1,0,1,"01","18",17,5.28571428571429,4.5,1,1,0,0,1,19,4,"2",1
"21",269662341548228,"WA","Treatment","12",1,30,2,2,2,2,2,2,2,2,1,0,2,4,2,3,3,3,3,2,1,1,3,4,5,1,0,0,11,8,33,10,3,0,0,10,0,0,0,95,95,5,0,91,80,39,100,9,60,0,0,"https://ipz.qualtrics.com/Q/File.php?F=F_Wj7CvCIbg0IxDjj","https://ipz.qualtrics.com/Q/File.php?F=F_2TRe87bFlIU4GnY",2024-03-02 10:58:00,2024-03-15 19:48:24,1,1,1,1,1,"02","15",13,4.71428571428571,2.75,1,1,1,1,1,22,2,"1",2
"22",269662341548228,"WA","Treatment","12",1,30,2,2,2,2,2,2,2,2,1,0,2,4,2,3,3,3,3,2,1,1,3,4,5,1,0,0,11,8,33,10,3,0,0,10,0,0,0,95,95,5,0,91,80,39,100,9,60,0,0,"https://ipz.qualtrics.com/Q/File.php?F=F_Wj7CvCIbg0IxDjj","https://ipz.qualtrics.com/Q/File.php?F=F_2TRe87bFlIU4GnY",2024-03-02 10:58:00,2024-03-15 19:48:24,1,1,1,1,1,"02","15",13,4.71428571428571,2.75,1,1,1,1,1,22,2,"2",0
"23",269662341548231,"WA","Control","2",2,38,5,6,3,1,6,3,6,3,2,1,4,6,3,1,5,3,6,3,2,0,4,8,7,1,3,2,18,6,42,14,4,1,0,80,90,0,0,50,50,10,10,20,0,50,60,35,50,25,50,"https://ipz.qualtrics.com/Q/File.php?F=F_0BWZ59R12lpre4V",NA,2024-03-01 13:40:24,2024-03-16 09:21:41,1,0,0,0,1,"01","16",15,6,4.5,0,0,0,0,1,24,8,"1",1
"24",269662341548231,"WA","Control","2",2,38,5,6,3,1,6,3,6,3,2,1,4,6,3,1,5,3,6,3,2,0,4,8,7,1,3,2,18,6,42,14,4,1,0,80,90,0,0,50,50,10,10,20,0,50,60,35,50,25,50,"https://ipz.qualtrics.com/Q/File.php?F=F_0BWZ59R12lpre4V",NA,2024-03-01 13:40:24,2024-03-16 09:21:41,1,0,0,0,1,"01","16",15,6,4.5,0,0,0,0,1,24,8,"2",0
"25",269662341549263,"IG","Treatment","2",2,52,1,6,4,4,5,4,5,5,2,1,5,6,4,1,4,4,5,4,2,1,4,7,6,3,4,0,18,7,42,13,6,1,0,65,82,0,0,80,50,54,11,80,24,90,74,80,51,10,8,"https://ipz.qualtrics.com/Q/File.php?F=F_3qKF5uxoMqp7QVT","https://ipz.qualtrics.com/Q/File.php?F=F_29aYlVStoD1wr6a",2024-03-01 15:25:53,2024-03-15 17:09:53,1,1,1,1,1,"01","15",14,6,4.5,0,0,1,1,1,24,6,"1",0
"26",269662341549263,"IG","Treatment","2",2,52,1,6,4,4,5,4,5,5,2,1,5,6,4,1,4,4,5,4,2,1,4,7,6,3,4,0,18,7,42,13,6,1,0,65,82,0,0,80,50,54,11,80,24,90,74,80,51,10,8,"https://ipz.qualtrics.com/Q/File.php?F=F_3qKF5uxoMqp7QVT","https://ipz.qualtrics.com/Q/File.php?F=F_29aYlVStoD1wr6a",2024-03-01 15:25:53,2024-03-15 17:09:53,1,1,1,1,1,"01","15",14,6,4.5,0,0,1,1,1,24,6,"2",1
"27",269662341554198,"IG","Control","1",2,34,6,6,1,1,5,5,6,4,3,0,4,5,1,1,4,4,5,5,3,0,4,10,9,5,5,3,11,11,34,14,4,2,0,0,0,51,50,45,20,30,25,85,65,50,50,5,2,26,35,"https://ipz.qualtrics.com/Q/File.php?F=F_3QQNrYWmvwwsJfq","https://ipz.qualtrics.com/Q/File.php?F=F_3PCamow8l5FT2NY",2024-03-01 14:35:25,2024-03-15 22:45:32,1,1,1,1,1,"01","15",14,4.85714285714286,2.75,0,0,1,1,1,23,3,"1",1
"28",269662341554198,"IG","Control","1",2,34,6,6,1,1,5,5,6,4,3,0,4,5,1,1,4,4,5,5,3,0,4,10,9,5,5,3,11,11,34,14,4,2,0,0,0,51,50,45,20,30,25,85,65,50,50,5,2,26,35,"https://ipz.qualtrics.com/Q/File.php?F=F_3QQNrYWmvwwsJfq","https://ipz.qualtrics.com/Q/File.php?F=F_3PCamow8l5FT2NY",2024-03-01 14:35:25,2024-03-15 22:45:32,1,1,1,1,1,"01","15",14,4.85714285714286,2.75,0,0,1,1,1,23,3,"2",3
"29",269662341557312,"WA","Control","5",2,36,6,7,4,4,5,5,6,6,1,1,3,7,5,5,6,5,5,5,1,1,4,7,9,2,4,3,21,3,34,11,7,2,1,33,5,36,4,0,1,100,100,100,100,17,4,0,1,37,3,"https://ipz.qualtrics.com/Q/File.php?F=F_3HUDD6r9LD8296h","https://ipz.qualtrics.com/Q/File.php?F=F_3spixdS3jJunZVW",2024-03-01 15:23:44,2024-03-15 22:52:54,1,1,1,1,1,"01","15",14,4.85714285714286,5.25,1,1,1,1,1,13,8,"1",0
"30",269662341557312,"WA","Control","5",2,36,6,7,4,4,5,5,6,6,1,1,3,7,5,5,6,5,5,5,1,1,4,7,9,2,4,3,21,3,34,11,7,2,1,33,5,36,4,0,1,100,100,100,100,17,4,0,1,37,3,"https://ipz.qualtrics.com/Q/File.php?F=F_3HUDD6r9LD8296h","https://ipz.qualtrics.com/Q/File.php?F=F_3spixdS3jJunZVW",2024-03-01 15:23:44,2024-03-15 22:52:54,1,1,1,1,1,"01","15",14,4.85714285714286,5.25,1,1,1,1,1,13,8,"2",4
"31",269662341560436,"IG","Control","12",1,48,1,6,1,1,4,4,4,2,2,0,4,6,1,1,4,4,4,3,2,0,4,6,7,4,1,1,8,4,39,14,4,2,0,8,0,6,0,62,100,1,0,71,93,76,100,12,14,6,0,"https://ipz.qualtrics.com/Q/File.php?F=F_A5UZRm08TefkvzX","https://ipz.qualtrics.com/Q/File.php?F=F_8tVptkRFPcjdfUJ",2024-03-03 12:49:13,2024-03-19 21:26:53,1,1,1,0,1,"03","19",16,5.57142857142857,2,0,0,0,1,1,31,10,"1",0
"32",269662341560436,"IG","Control","12",1,48,1,6,1,1,4,4,4,2,2,0,4,6,1,1,4,4,4,3,2,0,4,6,7,4,1,1,8,4,39,14,4,2,0,8,0,6,0,62,100,1,0,71,93,76,100,12,14,6,0,"https://ipz.qualtrics.com/Q/File.php?F=F_A5UZRm08TefkvzX","https://ipz.qualtrics.com/Q/File.php?F=F_8tVptkRFPcjdfUJ",2024-03-03 12:49:13,2024-03-19 21:26:53,1,1,1,0,1,"03","19",16,5.57142857142857,2,0,0,0,1,1,31,10,"2",1
"33",269662341564592,"WA","Treatment","6",2,62,5,6,1,1,4,4,5,4,2,0,4,6,1,1,4,4,4,4,2,1,5,6,7,3,5,2,10,3,36,9,3,1,0,0,0,0,0,100,100,0,0,13,50,19,49,85,100,0,0,"https://ipz.qualtrics.com/Q/File.php?F=F_yTNevQcz0AY54k1","https://ipz.qualtrics.com/Q/File.php?F=F_26hB2JxrXQuXb9C",2024-03-01 16:16:35,2024-03-15 17:43:12,1,1,1,1,1,"01","15",14,5.14285714285714,2.5,0,0,1,1,1,26,6,"1",0
"34",269662341564592,"WA","Treatment","6",2,62,5,6,1,1,4,4,5,4,2,0,4,6,1,1,4,4,4,4,2,1,5,6,7,3,5,2,10,3,36,9,3,1,0,0,0,0,0,100,100,0,0,13,50,19,49,85,100,0,0,"https://ipz.qualtrics.com/Q/File.php?F=F_yTNevQcz0AY54k1","https://ipz.qualtrics.com/Q/File.php?F=F_26hB2JxrXQuXb9C",2024-03-01 16:16:35,2024-03-15 17:43:12,1,1,1,1,1,"01","15",14,5.14285714285714,2.5,0,0,1,1,1,26,6,"2",2
"35",269662341584108,"IG","Control","12",1,38,2,5,1,1,4,2,5,2,2,0,4,5,1,1,4,3,5,2,2,0,4,4,6,3,1,0,13,8,31,5,2,0,0,50,0,50,0,80,50,50,0,50,50,100,100,50,50,50,0,"https://ipz.qualtrics.com/Q/File.php?F=F_5bVtVYNjUuwxsul","https://ipz.qualtrics.com/Q/File.php?F=F_3PhN9n68sBUD05f",2024-03-01 21:51:51,2024-03-16 17:31:58,1,1,1,0,1,"01","16",15,4.42857142857143,3.25,0,0,0,1,1,18,-3,"1",0
"36",269662341584108,"IG","Control","12",1,38,2,5,1,1,4,2,5,2,2,0,4,5,1,1,4,3,5,2,2,0,4,4,6,3,1,0,13,8,31,5,2,0,0,50,0,50,0,80,50,50,0,50,50,100,100,50,50,50,0,"https://ipz.qualtrics.com/Q/File.php?F=F_5bVtVYNjUuwxsul","https://ipz.qualtrics.com/Q/File.php?F=F_3PhN9n68sBUD05f",2024-03-01 21:51:51,2024-03-16 17:31:58,1,1,1,0,1,"01","16",15,4.42857142857143,3.25,0,0,0,1,1,18,-3,"2",0
"37",269662341585151,"WA","Treatment","2",1,60,2,8,2,2,6,4,6,5,2,1,4,8,1,2,6,6,6,6,2,1,4,7,7,2,7,2,23,11,42,13,6,1,0,90,85,4,2,50,35,10,15,50,12,20,5,80,100,6,5,"https://ipz.qualtrics.com/Q/File.php?F=F_3qTMJ2yTWGrzdYY","https://ipz.qualtrics.com/Q/File.php?F=F_3CEpeerylfhZS5t",2024-03-01 13:48:35,2024-03-18 11:49:37,1,0,1,0,1,"01","18",17,6,5.75,0,0,0,0,1,19,2,"1",2
"38",269662341585151,"WA","Treatment","2",1,60,2,8,2,2,6,4,6,5,2,1,4,8,1,2,6,6,6,6,2,1,4,7,7,2,7,2,23,11,42,13,6,1,0,90,85,4,2,50,35,10,15,50,12,20,5,80,100,6,5,"https://ipz.qualtrics.com/Q/File.php?F=F_3qTMJ2yTWGrzdYY","https://ipz.qualtrics.com/Q/File.php?F=F_3CEpeerylfhZS5t",2024-03-01 13:48:35,2024-03-18 11:49:37,1,0,1,0,1,"01","18",17,6,5.75,0,0,0,0,1,19,2,"2",4
"39",269662341589059,"WA","Treatment","6",1,49,4,5,3,2,4,4,3,3,2,1,4,6,4,4,4,4,4,4,2,1,4,7,6,4,6,3,16,8,36,12,4,1,0,0,0,3,38,61,91,6,7,49,77,100,90,52,92,29,32,"https://ipz.qualtrics.com/Q/File.php?F=F_AHh9bewVEN9PPP3","https://ipz.qualtrics.com/Q/File.php?F=F_2dyyWGaTHpPhWoX",2024-03-01 20:40:52,2024-03-15 16:53:06,1,1,1,1,1,"01","15",14,5.14285714285714,4,0,0,1,1,1,20,4,"1",1
"40",269662341589059,"WA","Treatment","6",1,49,4,5,3,2,4,4,3,3,2,1,4,6,4,4,4,4,4,4,2,1,4,7,6,4,6,3,16,8,36,12,4,1,0,0,0,3,38,61,91,6,7,49,77,100,90,52,92,29,32,"https://ipz.qualtrics.com/Q/File.php?F=F_AHh9bewVEN9PPP3","https://ipz.qualtrics.com/Q/File.php?F=F_2dyyWGaTHpPhWoX",2024-03-01 20:40:52,2024-03-15 16:53:06,1,1,1,1,1,"01","15",14,5.14285714285714,4,0,0,1,1,1,20,4,"2",3
"41",269662341600262,"WA","Control","1",2,49,4,6,1,1,4,3,4,4,2,0,3,5,1,1,4,3,4,3,2,0,3,5,5,4,6,3,15,4,40,13,4,1,0,0,0,0,10,26,86,26,12,24,51,28,88,25,52,24,36,"https://ipz.qualtrics.com/Q/File.php?F=F_2zYpBaxDLkRijt6","https://ipz.qualtrics.com/Q/File.php?F=F_3sAsrfVGjU6Edih",2024-03-03 12:54:41,2024-03-18 13:31:29,1,0,0,0,1,"03","18",15,5.71428571428571,3.75,0,0,0,0,1,25,9,"1",0
"42",269662341600262,"WA","Control","1",2,49,4,6,1,1,4,3,4,4,2,0,3,5,1,1,4,3,4,3,2,0,3,5,5,4,6,3,15,4,40,13,4,1,0,0,0,0,10,26,86,26,12,24,51,28,88,25,52,24,36,"https://ipz.qualtrics.com/Q/File.php?F=F_2zYpBaxDLkRijt6","https://ipz.qualtrics.com/Q/File.php?F=F_3sAsrfVGjU6Edih",2024-03-03 12:54:41,2024-03-18 13:31:29,1,0,0,0,1,"03","18",15,5.71428571428571,3.75,0,0,0,0,1,25,9,"2",0
"43",269662726285327,"WA","Control","1",2,45,4,6,3,1,5,4,5,4,5,1,4,5,3,3,4,4,5,3,2,1,4,8,6,3,2,2,12,5,45,12,5,1,0,0,0,25,20,70,50,30,10,50,51,60,50,50,50,75,50,"https://ipz.qualtrics.com/Q/File.php?F=F_2PpUcQEvHYogRgC","https://ipz.qualtrics.com/Q/File.php?F=F_1nPFmS6DYqVDo8K",2024-03-01 20:55:30,2024-03-15 22:26:39,1,1,1,1,1,"01","15",14,6.42857142857143,3,0,0,1,1,1,33,7,"1",0
"44",269662726285327,"WA","Control","1",2,45,4,6,3,1,5,4,5,4,5,1,4,5,3,3,4,4,5,3,2,1,4,8,6,3,2,2,12,5,45,12,5,1,0,0,0,25,20,70,50,30,10,50,51,60,50,50,50,75,50,"https://ipz.qualtrics.com/Q/File.php?F=F_2PpUcQEvHYogRgC","https://ipz.qualtrics.com/Q/File.php?F=F_1nPFmS6DYqVDo8K",2024-03-01 20:55:30,2024-03-15 22:26:39,1,1,1,1,1,"01","15",14,6.42857142857143,3,0,0,1,1,1,33,7,"2",0
"45",269662726286354,"WA","Control","2",2,34,5,6,1,1,5,4,5,3,5,0,4,6,1,1,4,3,4,3,5,0,4,8,7,2,4,3,11,6,35,9,3,1,0,30,44,20,24,75,75,25,25,50,50,50,50,50,50,40,58,"https://ipz.qualtrics.com/Q/File.php?F=F_2WHijTAIZfKIl43",NA,2024-03-01 10:53:52,2024-03-18 12:07:37,1,1,1,1,1,"01","18",17,5,2.75,0,0,1,1,1,24,3,"1",0
"46",269662726286354,"WA","Control","2",2,34,5,6,1,1,5,4,5,3,5,0,4,6,1,1,4,3,4,3,5,0,4,8,7,2,4,3,11,6,35,9,3,1,0,30,44,20,24,75,75,25,25,50,50,50,50,50,50,40,58,"https://ipz.qualtrics.com/Q/File.php?F=F_2WHijTAIZfKIl43",NA,2024-03-01 10:53:52,2024-03-18 12:07:37,1,1,1,1,1,"01","18",17,5,2.75,0,0,1,1,1,24,3,"2",1
